timestamp,bpm,complexity,preset,chord_progression,output_filename,number_of_events
2026-05-12T12:25:42.916098,135,3,Cognitive Stimulation,Bm F C G,output_135_c3_20260512_122542.mid,108
2026-05-12T12:26:50.841349,135,3,Cognitive Stimulation,Bm F C G,output_135_c3_20260512_122650.mid,108
2026-05-13T09:51:03.085540,70,1,Relaxation,C G Am F,output_70_c1_20260513_095103.mid,32
2026-05-13T10:22:03.533090,70,1,Relaxation,C G Am F,output_70_c1_20260513_102203.mid,32
2026-05-13T10:22:31.836766,135,3,Cognitive Stimulation,C G Am F,output_135_c3_20260513_102231.mid,108
2026-05-13T10:22:39.539805,135,2,Cognitive Stimulation,C G Am F,output_135_c2_20260513_102239.mid,68
2026-05-13T10:28:43.234448,110,1,Motor Synchronization,C G Am F,output_110_c1_20260513_102843.mid,32
2026-05-13T10:28:55.657416,135,3,Cognitive Stimulation,C G Am F,output_135_c3_20260513_102855.mid,108
2026-05-13T10:29:25.149164,135,3,Cognitive Stimulation,C G Am F,output_135_c3_20260513_102925.mid,108
2026-05-13T10:29:35.126714,135,3,Cognitive Stimulation,Am C G F,output_135_c3_20260513_102935.mid,108
2026-05-13T11:10:08.330380,110,2,Motor Synchronization,C F A Am,output_110_c2_20260513_111008.mid,68
2026-05-13T12:45:38.099850,60,1,Batch,C G Am F,output_60_c1_20260513_124538.mid,32
2026-05-13T12:45:38.104555,60,2,Batch,C G Am F,output_60_c2_20260513_124538.mid,68
2026-05-13T12:45:38.111009,60,3,Batch,C G Am F,output_60_c3_20260513_124538.mid,108
2026-05-13T12:45:38.113667,80,1,Batch,C G Am F,output_80_c1_20260513_124538.mid,32
2026-05-13T12:45:38.117281,80,2,Batch,C G Am F,output_80_c2_20260513_124538.mid,68
2026-05-13T12:45:38.124698,80,3,Batch,C G Am F,output_80_c3_20260513_124538.mid,108
2026-05-13T12:45:38.126729,100,1,Batch,C G Am F,output_100_c1_20260513_124538.mid,32
2026-05-13T12:45:38.129834,100,2,Batch,C G Am F,output_100_c2_20260513_124538.mid,68
2026-05-13T12:45:38.133963,100,3,Batch,C G Am F,output_100_c3_20260513_124538.mid,108
2026-05-13T12:45:38.136717,120,1,Batch,C G Am F,output_120_c1_20260513_124538.mid,32
2026-05-13T12:45:38.140467,120,2,Batch,C G Am F,output_120_c2_20260513_124538.mid,68
2026-05-13T12:45:38.145301,120,3,Batch,C G Am F,output_120_c3_20260513_124538.mid,108
2026-05-13T12:45:38.146632,140,1,Batch,C G Am F,output_140_c1_20260513_124538.mid,32
2026-05-13T12:45:38.148365,140,2,Batch,C G Am F,output_140_c2_20260513_124538.mid,68
2026-05-13T12:45:38.151223,140,3,Batch,C G Am F,output_140_c3_20260513_124538.mid,108
2026-05-13T12:45:49.656042,60,1,Batch,C G Am F,output_60_c1_20260513_124549.mid,32
2026-05-13T12:45:49.660819,60,2,Batch,C G Am F,output_60_c2_20260513_124549.mid,68
2026-05-13T12:45:49.667860,60,3,Batch,C G Am F,output_60_c3_20260513_124549.mid,108
2026-05-13T12:45:49.670777,80,1,Batch,C G Am F,output_80_c1_20260513_124549.mid,32
2026-05-13T12:45:49.675040,80,2,Batch,C G Am F,output_80_c2_20260513_124549.mid,68
